Sampling,Normalization,Bone,Incidence,Fusion,Pretraining,TPR,TNR,AUC,MCC,TPN,CV,Model
NewSphere,GroupNorm,Femur,Pain,AllFusion,Diagnosis,0.504,0.833,0.723,0.353,2.06,0.09980094499883792,DiagnosisResnet50FeatureExtract1e6
NewSphere,GroupNorm,Femur,Pain,AllFusion,ImageNet,0.555,0.823,0.722,0.386,2.099,5.615900524837172,ImageNetResnet50Finetuned1e4
NewSphere,GroupNorm,Femur,Pain,AllFusion,Random,0.591,0.757,0.7290000000000001,0.34,2.077,8.361654477334394,RandomResnet18Finetuned1e4
NewSphere,GroupNorm,Femur,Pain,Bone,Diagnosis,0.5820000000000001,0.7979999999999999,0.737,0.38,2.116,0.04223717339597885,DiagnosisResnet50FeatureExtract1e5
NewSphere,GroupNorm,Femur,Pain,Bone,ImageNet,0.596,0.797,0.757,0.391,2.149,6.881290066303562,ImageNetResnet50Finetuned1e5
NewSphere,GroupNorm,Femur,Pain,Bone,Random,0.5720000000000001,0.812,0.728,0.38799999999999996,2.112,10.628963172106753,RandomResnet18Finetuned1e4
NewSphere,GroupNorm,Femur,Pain,BoneCartFusion,Diagnosis,0.513,0.8420000000000001,0.736,0.373,2.0909999999999997,0.06581701057317677,DiagnosisResnet50FeatureExtract1e5
NewSphere,GroupNorm,Femur,Pain,BoneCartFusion,ImageNet,0.611,0.773,0.74,0.377,2.124,6.762666131835127,ImageNetResnet50Finetuned1e4
NewSphere,GroupNorm,Femur,Pain,BoneCartFusion,Random,0.625,0.7390000000000001,0.73,0.35200000000000004,2.094,8.079727588647508,RandomResnet50Finetuned1e4
NewSphere,GroupNorm,Femur,Pain,CartFusion,Diagnosis,0.501,0.8390000000000001,0.7,0.359,2.04,1.1810042927990025,DiagnosisResnet50Finetuned1e7
NewSphere,GroupNorm,Femur,Pain,CartFusion,ImageNet,0.5670000000000001,0.752,0.708,0.313,2.026,6.334156554863106,ImageNetResnet34FirstTwoLayersExtract1e4
NewSphere,GroupNorm,Femur,Pain,CartFusion,Random,0.5770000000000001,0.754,0.7,0.324,2.03,9.859843658991222,RandomResnet50Finetuned1e4
NewSphere,GroupNorm,Femur,Pain,T2Fusion,Diagnosis,0.652,0.6829999999999999,0.711,0.318,2.046,0.07833087124326522,DiagnosisResnet50FeatureExtract1e7
NewSphere,GroupNorm,Femur,Pain,T2Fusion,ImageNet,0.715,0.605,0.7190000000000001,0.301,2.039,4.840189689782827,ImageNetResnet34Finetuned1e4
NewSphere,GroupNorm,Femur,Pain,T2Fusion,Random,0.659,0.644,0.713,0.28600000000000003,2.017,8.597914140278691,RandomResnet34Finetuned1e4
NewSphere,GroupNorm,Femur,Pain,Thickness,Diagnosis,0.562,0.8029999999999999,0.7390000000000001,0.368,2.104,0.6450982584560175,DiagnosisResnet50FirstLayerExtract1e5
NewSphere,GroupNorm,Femur,Pain,Thickness,ImageNet,0.608,0.7509999999999999,0.732,0.349,2.0909999999999997,4.28987292411917,ImageNetResnet50Finetuned1e4
NewSphere,GroupNorm,Femur,Pain,Thickness,Random,0.526,0.8140000000000001,0.721,0.349,2.061,6.53514730033952,RandomResnet50Finetuned1e4
NewSphere,GroupNorm,Patella,Pain,AllFusion,Diagnosis,0.501,0.8029999999999999,0.7140000000000001,0.312,2.0180000000000002,0.11048658514572585,DiagnosisResnet50FirstTwoLayersExtract1e8
NewSphere,GroupNorm,Patella,Pain,AllFusion,ImageNet,0.55,0.81,0.7290000000000001,0.365,2.089,6.2390942268990175,ImageNetResnet50Finetuned1e4
NewSphere,GroupNorm,Patella,Pain,AllFusion,Random,0.672,0.6759999999999999,0.723,0.32899999999999996,2.07,7.222722074163452,RandomResnet34Finetuned1e4
NewSphere,GroupNorm,Patella,Pain,Bone,Diagnosis,0.564,0.784,0.725,0.34700000000000003,2.073,1.0267672240371313,DiagnosisResnet50FirstLayerExtract1e5
NewSphere,GroupNorm,Patella,Pain,Bone,ImageNet,0.601,0.745,0.748,0.336,2.094,7.502568348840223,ImageNetResnet34FirstLayerExtract1e4
NewSphere,GroupNorm,Patella,Pain,Bone,Random,0.774,0.585,0.743,0.337,2.102,8.369394610808117,RandomResnet34Finetuned1e4
NewSphere,GroupNorm,Patella,Pain,BoneCartFusion,Diagnosis,0.637,0.721,0.735,0.344,2.093,0.665041179091545,DiagnosisResnet50FirstLayerExtract1e5
NewSphere,GroupNorm,Patella,Pain,BoneCartFusion,ImageNet,0.526,0.825,0.7440000000000001,0.363,2.095,3.5164339020480586,ImageNetResnet50Finetuned1e4
NewSphere,GroupNorm,Patella,Pain,BoneCartFusion,Random,0.667,0.66,0.7020000000000001,0.308,2.028,7.16893738381179,RandomResnet34Finetuned1e4
NewSphere,GroupNorm,Patella,Pain,CartFusion,Diagnosis,0.613,0.7090000000000001,0.701,0.309,2.024,0.15020898296330223,DiagnosisResnet50FeatureExtract1e6
NewSphere,GroupNorm,Patella,Pain,CartFusion,ImageNet,0.596,0.732,0.715,0.318,2.042,4.10539460022631,ImageNetResnet50Finetuned1e4
NewSphere,GroupNorm,Patella,Pain,CartFusion,Random,0.521,0.799,0.72,0.326,2.04,8.756535718830945,RandomResnet50Finetuned1e4
NewSphere,GroupNorm,Patella,Pain,T2Fusion,Diagnosis,0.599,0.735,0.7,0.324,2.0340000000000003,0.029729750779544737,DiagnosisResnet50FeatureExtract1e5
NewSphere,GroupNorm,Patella,Pain,T2Fusion,ImageNet,0.5670000000000001,0.742,0.6970000000000001,0.302,2.006,4.181770590540464,ImageNetResnet18Finetuned1e4
NewSphere,GroupNorm,Patella,Pain,T2Fusion,Random,0.723,0.585,0.696,0.289,2.004,5.974514773418257,RandomResnet18Finetuned1e4
NewSphere,GroupNorm,Patella,Pain,Thickness,Diagnosis,0.564,0.733,0.682,0.29,1.979,0.08721341895916664,DiagnosisResnet50FeatureExtract1e7
NewSphere,GroupNorm,Patella,Pain,Thickness,ImageNet,0.718,0.622,0.72,0.319,2.06,5.513765124195292,ImageNetResnet50Finetuned1e4
NewSphere,GroupNorm,Patella,Pain,Thickness,Random,0.574,0.735,0.7,0.301,2.009,6.464658539080969,RandomResnet34Finetuned1e4
NewSphere,GroupNorm,Tibia,Pain,AllFusion,Diagnosis,0.521,0.855,0.735,0.397,2.11,0.5792351244419576,DiagnosisResnet50Finetuned1e5
NewSphere,GroupNorm,Tibia,Pain,AllFusion,ImageNet,0.601,0.77,0.7440000000000001,0.364,2.114,3.480597628321201,ImageNetResnet50Finetuned1e4
NewSphere,GroupNorm,Tibia,Pain,AllFusion,Random,0.523,0.8240000000000001,0.722,0.359,2.069,6.378227368813755,RandomResnet18Finetuned1e4
NewSphere,GroupNorm,Tibia,Pain,Bone,Diagnosis,0.5379999999999999,0.831,0.74,0.381,2.109,0.5777034643562607,DiagnosisResnet50Finetuned1e5
NewSphere,GroupNorm,Tibia,Pain,Bone,ImageNet,0.645,0.715,0.7490000000000001,0.344,2.108,8.208904166064368,ImageNetResnet50Finetuned1e4
NewSphere,GroupNorm,Tibia,Pain,Bone,Random,0.555,0.7929999999999999,0.7020000000000001,0.35,2.049,10.071532575086795,RandomResnet34Finetuned1e4
NewSphere,GroupNorm,Tibia,Pain,BoneCartFusion,Diagnosis,0.504,0.846,0.74,0.371,2.09,0.5533496962206844,DiagnosisResnet50Finetuned1e5
NewSphere,GroupNorm,Tibia,Pain,BoneCartFusion,ImageNet,0.606,0.746,0.741,0.342,2.093,5.097342364147627,ImageNetResnet50FirstLayerExtract1e4
NewSphere,GroupNorm,Tibia,Pain,BoneCartFusion,Random,0.589,0.7659999999999999,0.72,0.349,2.075,8.19892366486883,RandomResnet34Finetuned1e4
NewSphere,GroupNorm,Tibia,Pain,CartFusion,Diagnosis,0.504,0.831,0.7240000000000001,0.35,2.059,0.8783524347721973,DiagnosisResnet50Finetuned1e5
NewSphere,GroupNorm,Tibia,Pain,CartFusion,ImageNet,0.601,0.747,0.7120000000000001,0.33899999999999997,2.06,6.7939889677193,ImageNetResnet34Finetuned1e5
NewSphere,GroupNorm,Tibia,Pain,CartFusion,Random,0.594,0.779,0.727,0.368,2.1,7.134753554827358,RandomResnet18Finetuned1e4
NewSphere,GroupNorm,Tibia,Pain,T2Fusion,Diagnosis,0.521,0.8320000000000001,0.7340000000000001,0.36700000000000005,2.0869999999999997,1.5659431087863755,DiagnosisResnet50Finetuned1e6
NewSphere,GroupNorm,Tibia,Pain,T2Fusion,ImageNet,0.63,0.7170000000000001,0.711,0.33299999999999996,2.0580000000000003,6.391864891277786,ImageNetResnet50FirstLayerExtract1e5
NewSphere,GroupNorm,Tibia,Pain,T2Fusion,Random,0.569,0.7879999999999999,0.7,0.35700000000000004,2.057,5.606157745624128,RandomResnet18Finetuned1e4
NewSphere,GroupNorm,Tibia,Pain,Thickness,Diagnosis,0.509,0.813,0.7090000000000001,0.332,2.031,0.8425390795874388,DiagnosisResnet50FirstTwoLayersExtract1e5
NewSphere,GroupNorm,Tibia,Pain,Thickness,ImageNet,0.523,0.8390000000000001,0.7290000000000001,0.379,2.092,7.0676684100316685,ImageNetResnet50Finetuned1e5
NewSphere,GroupNorm,Tibia,Pain,Thickness,Random,0.608,0.72,0.721,0.316,2.049,8.042639218560787,RandomResnet18Finetuned1e4
